Starting training loop.
Loading new chunk... done.
t=001k: loss=1.0000000, acc=0.00%
t=002k: loss=1.0000000, acc=0.00%
t=003k: loss=1.0000000, acc=0.00%
t=004k: loss=1.0000000, acc=0.00%
t=005k: loss=1.0000000, acc=0.00%
t=006k: loss=1.0000000, acc=0.00%
t=007k: loss=1.0000000, acc=0.01%
t=008k: loss=1.0000000, acc=0.02%
t=009k: loss=1.0000000, acc=0.03%
t=010k: loss=1.0000000, acc=0.03%
t=011k: loss=1.0000000, acc=0.05%
t=012k: loss=0.9999999, acc=0.07%
t=013k: loss=0.9999999, acc=0.08%
t=014k: loss=0.9999998, acc=0.12%
t=015k: loss=0.9999996, acc=0.15%
t=016k: loss=0.9999991, acc=0.22%
t=017k: loss=0.9999981, acc=0.23%
t=018k: loss=0.9999961, acc=0.25%
t=019k: loss=0.9999919, acc=0.30%
t=020k: loss=0.9999836, acc=0.33%
t=021k: loss=0.9999673, acc=0.37%
t=022k: loss=0.9999369, acc=0.42%
t=023k: loss=0.9998840, acc=0.47%
t=024k: loss=0.9997974, acc=0.52%
t=025k: loss=0.9996645, acc=0.62%
t=026k: loss=0.9994715, acc=0.70%
t=027k: loss=0.9992086, acc=0.81%
t=028k: loss=0.9988680, acc=0.84%
t=029k: loss=0.9984404, acc=1.00%
t=030k: loss=0.9979283, acc=1.14%
t=031k: loss=0.9973299, acc=1.27%
t=032k: loss=0.9966529, acc=1.34%
t=033k: loss=0.9959179, acc=1.56%
t=034k: loss=0.9951306, acc=1.54%
t=035k: loss=0.9943148, acc=1.62%
t=036k: loss=0.9934873, acc=1.62%
t=037k: loss=0.9926655, acc=1.63%
t=038k: loss=0.9918705, acc=1.58%
t=039k: loss=0.9911202, acc=1.62%
t=040k: loss=0.9903915, acc=1.54%
t=041k: loss=0.9897249, acc=1.53%
t=042k: loss=0.9891177, acc=1.47%
t=043k: loss=0.9885477, acc=1.30%
t=044k: loss=0.9880458, acc=1.41%
t=045k: loss=0.9875649, acc=1.21%
t=046k: loss=0.9871495, acc=1.21%
t=047k: loss=0.9867724, acc=1.28%
t=048k: loss=0.9864394, acc=1.21%
t=049k: loss=0.9860940, acc=1.14%
t=050k: loss=0.9858179, acc=1.11%
t=051k: loss=0.9855721, acc=0.90%
t=052k: loss=0.9853333, acc=0.77%
t=053k: loss=0.9851173, acc=0.82%
t=054k: loss=0.9849202, acc=0.75%
t=055k: loss=0.9847581, acc=0.80%
t=056k: loss=0.9845804, acc=0.77%
t=057k: loss=0.9844065, acc=0.65%
t=058k: loss=0.9842200, acc=0.61%
t=059k: loss=0.9840840, acc=0.63%
t=060k: loss=0.9839048, acc=0.69%
t=061k: loss=0.9837136, acc=0.63%
t=062k: loss=0.9835202, acc=0.50%
t=063k: loss=0.9833655, acc=0.44%
t=064k: loss=0.9831771, acc=0.36%
t=065k: loss=0.9829735, acc=0.48%
t=066k: loss=0.9827714, acc=0.40%
t=067k: loss=0.9825769, acc=0.37%
t=068k: loss=0.9823685, acc=0.25%
t=069k: loss=0.9821245, acc=0.27%
t=070k: loss=0.9818675, acc=0.23%
t=071k: loss=0.9816254, acc=0.17%
t=072k: loss=0.9813940, acc=0.30%
t=073k: loss=0.9810958, acc=0.29%
t=074k: loss=0.9808373, acc=0.33%
t=075k: loss=0.9805307, acc=0.28%
t=076k: loss=0.9801719, acc=0.30%
t=077k: loss=0.9798121, acc=0.26%
t=078k: loss=0.9794531, acc=0.30%
t=079k: loss=0.9791013, acc=0.27%
t=080k: loss=0.9787448, acc=0.28%
t=081k: loss=0.9783498, acc=0.25%
t=082k: loss=0.9779208, acc=0.28%
t=083k: loss=0.9774822, acc=0.30%
t=084k: loss=0.9770254, acc=0.31%
t=085k: loss=0.9765828, acc=0.32%
t=086k: loss=0.9761663, acc=0.31%
t=087k: loss=0.9756801, acc=0.38%
